;Date;No_cases;Workplace;Events;Daycare;Higher Education;Secondary Education;Primary Education;Restaurants/Cafes;Transport;Entertainment;Sports;Indoor;Masks;MassGather50;MassGatherAll;Shops;Outdoor;Religion;Gatherings;Stayhome;Telework;Prikken;Rolling_R
0;2020-02-25;0.010736440273580405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1354781198983
1;2020-02-26;0.01129314458406235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9148539342815845
2;2020-02-27;0.01033879433752187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.665936623349802
3;2020-02-28;0.011134086209638938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4226094560292406
4;2020-02-29;0.013281374264355019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.213713763000137
5;2020-03-01;0.01638301256561158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0560880008081
6;2020-03-02;0.019882296802926674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9627782876126583
7;2020-03-03;0.02027994273898521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.923544670727594
8;2020-03-04;0.035549546683632895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.918885216220711
9;2020-03-05;0.034515667249880706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9290426471000666
10;2020-03-06;0.04167329409893431;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9310052929082162
11;2020-03-07;0.04557022427230794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.911247987764808
12;2020-03-08;0.0534436138062669;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.866855134101976
13;2020-03-09;0.05567043104819469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7988497090474402
14;2020-03-10;0.062271353586766345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7130623308511266
15;2020-03-11;0.08620963893749006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.618476406182622
16;2020-03-12;0.06664545888341021;0.0;0.0;0.0;1.0;0.0;0.0;0.5;1.0;1.0;0.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.0;1.0;0.0;1.5196878190404668
17;2020-03-13;0.07022427230793701;0.0;0.0;0.0;1.0;0.0;0.0;0.5;1.0;1.0;0.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.25;1.0;0.0;1.423600678035967
18;2020-03-14;0.0664864005089868;0.0;0.0;0.0;1.0;0.0;0.0;0.5;1.0;1.0;0.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.25;1.0;0.0;1.335500568033565
19;2020-03-15;0.07968824558613011;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.25;1.0;0.0;1.2577785002938517
20;2020-03-16;0.07276920629871163;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.25;1.0;0.0;1.1955550153072714
21;2020-03-17;0.06585016701129315;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.25;1.0;0.0;1.1472630512864235
22;2020-03-18;0.09861619214251631;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.1116206090063028
23;2020-03-19;0.08008589152218865;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.0839905934510272
24;2020-03-20;0.07984730396055352;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.0612429464876127
25;2020-03-21;0.06823604262764435;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.041415576697627
26;2020-03-22;0.0806425958326706;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.0235846985402317
27;2020-03-23;0.07094003499284238;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.01122536070937
28;2020-03-24;0.06449817082869413;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0049194236475556
29;2020-03-25;0.08899316048989979;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0066571303707663
30;2020-03-26;0.07292826467313504;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0145721109943977
31;2020-03-27;0.09002703992365198;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0254911633135593
32;2020-03-28;0.08398282169556227;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.035467690231444
33;2020-03-29;0.08080165420709401;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0397667849376926
34;2020-03-30;0.07865436615237792;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0375994384550857
35;2020-03-31;0.07229203117544139;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0278548486881758
36;2020-04-01;0.09845713376809288;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0123083460057891
37;2020-04-02;0.0770637824081438;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9921580022518675
38;2020-04-03;0.07929059965007158;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9693647190059703
39;2020-04-04;0.06982662637187848;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9451430545013444
40;2020-04-05;0.07507555272785112;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9207210258113018
41;2020-04-06;0.05916971528550978;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.899097652407493
42;2020-04-07;0.058453952600604424;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8805770315402995
43;2020-04-08;0.06600922538571656;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8673581017444872
44;2020-04-09;0.0652934627008112;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8579760341467245
45;2020-04-10;0.06076029902974392;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8505953878508142
46;2020-04-11;0.05161444250039764;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8434932124766903
47;2020-04-12;0.04978527119452839;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8338761423027933
48;2020-04-13;0.04549069508509623;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8224551171524365
49;2020-04-14;0.03888977254652457;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8092539662987048
50;2020-04-15;0.05296643868299666;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7956870178781495
51;2020-04-16;0.03849212661046604;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7826798431700231
52;2020-04-17;0.03372037537776364;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7708491056864109
53;2020-04-18;0.030141561953236837;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.761235074724973
54;2020-04-19;0.03173214569747097;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7547168031376644
55;2020-04-20;0.025926515031016385;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7531253583426382
56;2020-04-21;0.021950055670431047;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7574169730018426
57;2020-04-22;0.029425799268331478;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7678695993526763
58;2020-04-23;0.027517098775250517;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.7816473829493772
59;2020-04-24;0.023461110227453476;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.796657848010135
60;2020-04-25;0.019802767615714967;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8097165288951274
61;2020-04-26;0.02338158104024177;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8181398239897402
62;2020-04-27;0.01853030062032766;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8233117631711624
63;2020-04-28;0.019087004930809608;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8250111611014664
64;2020-04-29;0.02147288054716081;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8256129071228673
65;2020-04-30;0.015269603944647686;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8267500837176783
66;2020-05-01;0.017496421186575472;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.82911621242865
67;2020-05-02;0.015587720693494513;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8338090634584135
68;2020-05-03;0.014633370446954033;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8402307601946385
69;2020-05-04;0.01495148719580086;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.848830137426698
70;2020-05-05;0.013997136949260379;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8587078082507956
71;2020-05-06;0.01853030062032766;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8690690127075431
72;2020-05-07;0.013281374264355019;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8788001886350976
73;2020-05-08;0.012883728328296484;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8892764543965893
74;2020-05-09;0.010179735963098457;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9020497720291583
75;2020-05-10;0.013281374264355019;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9195055129942321
76;2020-05-11;0.01153173214569747;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9449748289244077
77;2020-05-12;0.01566724988070622;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9759902803858596
78;2020-05-13;0.016462541752823287;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;1.0087045040056803
79;2020-05-14;0.012963257515508192;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;1.0362100814561948
80;2020-05-15;0.015110545570224272;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;1.051522320146169
81;2020-05-16;0.019325592492444726;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;1.0515527707924415
82;2020-05-17;0.013122315889931605;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;1.036020211366273
83;2020-05-18;0.011611261332909177;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;1.0099937751936612
84;2020-05-19;0.009702560839828216;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9800359697880519
85;2020-05-20;0.015508191506282807;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9531692206976339
86;2020-05-21;0.014076666136472085;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9343436297157621
87;2020-05-22;0.012486082392237951;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9251313214956298
88;2020-05-23;0.01153173214569747;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9241440321494565
89;2020-05-24;0.011372673771274058;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9287415915710558
90;2020-05-25;0.012167965643391124;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9372345831795217
91;2020-05-26;0.010736440273580405;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9467937460833994
92;2020-05-27;0.013122315889931605;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9575207788519715
93;2020-05-28;0.012406553205026245;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9675615578851262
94;2020-05-29;0.012406553205026245;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9748974734433763
95;2020-05-30;0.011611261332909177;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9788023317772347
96;2020-05-31;0.01224749483060283;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.9774660693606523
97;2020-06-01;0.011054557022427232;1.0;0.0;0.0;1.0;1.0;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.5;0.5;0.0;0.9728691925844285
98;2020-06-02;0.009225385716557977;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9659514316704813
99;2020-06-03;0.012883728328296484;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.958291623087366
100;2020-06-04;0.010815969460792111;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.94988040085758
101;2020-06-05;0.012804199141084778;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9390987382885615
102;2020-06-06;0.00986161921425163;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9244509042240916
103;2020-06-07;0.009463973278193098;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9034848055628704
104;2020-06-08;0.009066327342134563;1.0;0.0;0.5;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.877044451421635
