;Date;No_cases;Rolling_R;Workplace;Events;Daycare;Higher Education;Secondary Education;Primary Education;Restaurants/Cafes;Transport;Entertainment;Sports;Indoor;Masks;MassGather50;MassGatherAll;Shops;Outdoor;Religion;Gatherings;Stayhome;Telework;Prikken
0;2020-02-25;135;3.1354781198983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;2020-02-26;142;2.9148539342815845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-02-27;130;2.665936623349802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;2020-02-28;140;2.4226094560292406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;2020-02-29;167;2.213713763000137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;2020-03-01;206;2.0560880008081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;2020-03-02;250;1.9627782876126583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;2020-03-03;255;1.923544670727594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;2020-03-04;447;1.918885216220711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;2020-03-05;434;1.9290426471000666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;2020-03-06;524;1.9310052929082162;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;2020-03-07;573;1.911247987764808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2020-03-08;672;1.866855134101976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2020-03-09;700;1.7988497090474402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2020-03-10;783;1.7130623308511266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2020-03-11;1084;1.618476406182622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;2020-03-12;838;1.5196878190404668;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0
17;2020-03-13;883;1.423600678035967;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0
18;2020-03-14;836;1.335500568033565;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0
19;2020-03-15;1002;1.2577785002938517;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0
20;2020-03-16;915;1.1955550153072714;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;1.0;2.0;0.0
21;2020-03-17;828;1.1472630512864235;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;1.0;2.0;0.0
22;2020-03-18;1240;1.1116206090063028;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;3.0;2.0;0.0
23;2020-03-19;1007;1.0839905934510272;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;3.0;2.0;0.0
24;2020-03-20;1004;1.0612429464876127;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;3.0;2.0;0.0
25;2020-03-21;858;1.041415576697627;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;3.0;2.0;0.0
26;2020-03-22;1014;1.0235846985402317;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;3.0;2.0;0.0
27;2020-03-23;892;1.01122536070937;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
28;2020-03-24;811;1.0049194236475556;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
29;2020-03-25;1119;1.0066571303707663;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
30;2020-03-26;917;1.0145721109943977;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
31;2020-03-27;1132;1.0254911633135593;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
32;2020-03-28;1056;1.035467690231444;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
33;2020-03-29;1016;1.0397667849376926;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
34;2020-03-30;989;1.0375994384550857;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
35;2020-03-31;909;1.0278548486881758;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
36;2020-04-01;1238;1.0123083460057891;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0
