Datum;Prikken
06-01-21;3.835
07-01-21;10.221
08-01-21;17.996
09-01-21;25.760
10-01-21;33.753
11-01-21;43.344
12-01-21;50.390
13-01-21;56.048
14-01-21;61.703
15-01-21;67.128
16-01-21;72.091
17-01-21;77.054
18-01-21;90.493
19-01-21;103.932
20-01-21;117.370
21-01-21;130.805
22-01-21;145.091
23-01-21;155.913
24-01-21;166.734
25-01-21;182.718
26-01-21;202.176
27-01-21;228.506
28-01-21;258.776
29-01-21;293.185
30-01-21;324.095
31-01-21;352.204
01-02-21;386.665
02-02-21;421.289
03-02-21;454.098
04-02-21;488.691
05-02-21;521.967
06-02-21;549.695
07-02-21;573.344
08-02-21;606.478
09-02-21;638.764
10-02-21;670.735
11-02-21;702.667
12-02-21;734.598
13-02-21;763.058
14-02-21;791.515
15-02-21;823.122
16-02-21;854.728
17-02-21;890.100
18-02-21;926.819
19-02-21;965.829
20-02-21;1.003.908
21-02-21;1.041.982
22-02-21;1.079.763
23-02-21;1.123.430
24-02-21;1.173.992
25-02-21;1.227.393
26-02-21;1.285.294
27-02-21;1.338.194
28-02-21;1.387.227
01-03-21;1.432.509
02-03-21;1.478.901
03-03-21;1.523.551
04-03-21;1.567.646
05-03-21;1.610.007
06-03-21;1.648.391
07-03-21;1.682.777
08-03-21;1.723.864
09-03-21;1.765.618
10-03-21;1.807.417
11-03-21;1.849.157
12-03-21;1.888.710
13-03-21;1.928.357
14-03-21;1.967.781
15-03-21;1.998.204
16-03-21;2.028.828
17-03-21;2.059.674
18-03-21;2.090.408
19-03-21;2.120.806
20-03-21;2.151.199
21-03-21;2.181.590
22-03-21;2.211.938
23-03-21;2.245.919
24-03-21;2.291.925
25-03-21;2.337.869
26-03-21;2.385.592
27-03-21;2.432.298
28-03-21;2.479.000
29-03-21;2.541.889
30-03-21;2.608.677
31-03-21;2.681.143
01-04-21;2.753.437
02-04-21;2.827.949
03-04-21;2.878.418
04-04-21;2.927.288
05-04-21;2.981.553
06-04-21;3.063.541
07-04-21;3.156.503
08-04-21;3.257.495
09-04-21;3.363.676
10-04-21;3.464.778
11-04-21;3.564.680
12-04-21;3.682.843
13-04-21;3.800.899
14-04-21;3.918.546
15-04-21;4.033.340
16-04-21;4.145.360
17-04-21;4.252.961
18-04-21;4.358.385
19-04-21;4.465.186
20-04-21;4.567.920
21-04-21;4.659.624
22-04-21;4.743.612
23-04-21;4.826.634
24-04-21;4.909.615
25-04-21;4.992.375
26-04-21;5.084.304
27-04-21;5.176.010
28-04-21;5.265.860
29-04-21;5.360.802
30-04-21;5.455.349
01-05-21;5.557.642
02-05-21;5.651.041
03-05-21;5.757.731
04-05-21;5.860.446
05-05-21;5.980.676
06-05-21;6.101.271
07-05-21;6.224.773
08-05-21;6.346.699
09-05-21;6.462.498
10-05-21;6.588.757
11-05-21;6.722.905
12-05-21;6.875.100
13-05-21;7.022.775
14-05-21;7.161.926
15-05-21;7.309.350
16-05-21;7.448.904
17-05-21;7.600.984
18-05-21;7.752.844
