Maatregelgroep;median;low;high
Transport;-0.34204422136564894;-0.36722083187864163;-0.328793595910324
MassGatherAll;-0.18821194778673545;-0.20925024369429868;-0.16361430105917082
MassGather50;-0.12198207271012787;-0.12914997587018612;-0.1143616222896926
Sports;-0.10434851930365624;-0.10985795084712584;-0.09300621649623746
Stayhome;-0.08424226109994656;-0.09634761366500129;-0.0760564599735733
Primary_Education;-0.05948082807245965;-0.06925011525724402;-0.04163205300575709
Daycare;-0.01310912533450373;-0.030116345227224797;-0.009927358451669794
Secondary_Education;-0.010739157196485494;-0.037846293325741;0.0036619985764222455
Masks;0.004681982507945005;-0.0025609084703866196;0.009199773607380543
Gatherings;0.019069272896315506;-0.007058466177104769;0.026149071991426236
Restaurants_Cafes;0.021133515994040508;-0.022544891663747887;0.025459570225298343
Prikken;0.03748540964635721;0.03357572547883428;0.0480810013634011
Telework;0.04318878087678892;0.024069913435100752;0.08374982498868415
Shops;0.06650930898910201;0.06036287328930448;0.09518107614809465
Higher_Education;0.06856970384578162;0.06074410819948457;0.07672605052363446
Intercept;0.08214066703568691;0.07868221806928281;0.0843030246296202
Outdoor;0.08608531445333045;0.07860210210831035;0.09895905279091359
Workplace;0.11861565423038742;0.10018541236702658;0.13236102949360576
Indoor;0.13194058897924343;0.10061914491023591;0.14547511511269112
Events;0.17284459689704001;0.15767314844903318;0.18884705296779536
Religion;0.23955905565037722;0.22122037398443511;0.2663019251497053
Entertainment;0.27791111689078946;0.2600070783302084;0.29945531544757603
