Maatregelgroep;median;low;high
Sports;-0.1547524849412827;-0.1663265948315003;-0.13709388184992777
MassGather50;-0.11095346795525673;-0.12506412038951686;-0.10488772732767922
Primary_Education;-0.1066570653986751;-0.12074202719367673;-0.09819996356066488
Prikken;-0.09598304153272486;-0.10615618147805334;-0.08913461829383498
Gatherings;-0.09003049185933212;-0.11090494435278238;-0.06305763640431941
MassGatherAll;-0.06545914378564086;-0.09979745406637036;-0.031528464109000856
Transport;-0.03725626908637884;-0.06108160527898092;-0.03136809506243911
Restaurants_Cafes;-0.030397679565843286;-0.045769376545359564;0.008284813475251684
Events;-0.01976942619720686;-0.03945250462816137;0.006137694243373722
Secondary_Education;-0.018576793635445617;-0.07052435929093434;-0.0022015681406306756
Outdoor;0.006077148532675393;-0.004654105348089965;0.015859927519480652
Higher_Education;0.015665783836991944;0.006506229263676107;0.035013943883694096
Entertainment;0.030331607726620614;0.009999546219384925;0.06239653046250091
Indoor;0.04032767064928769;0.006932637596304054;0.08007859557499145
Stayhome;0.049586641879315135;0.039744227071236385;0.06148103001860632
Daycare;0.05153935603643254;0.03900252893486253;0.0622060681012764
Masks;0.06126679372513655;0.05086811354129606;0.07036508471970881
Telework;0.07870430106864593;0.027296544859169485;0.12437894954828405
Shops;0.09421119422615384;0.07677016201203138;0.1493158797517915
Religion;0.22917148886647137;0.20262306922782672;0.2735135168420601
Workplace;0.29828796162003995;0.27567063724926255;0.3033486781871686
Intercept;0.3636372688538818;0.3582721041780918;0.3701554337188892
