Rank;Measure;Deltas;mean_Delta;std_Delta;Rank;timeshift
1;Stayhome;"[-1.27643006e-02  8.26493222e-02 -9.36675315e-03 -8.44927728e-02
  2.46299271e-02  8.58694662e-02  3.95516131e-02  7.83108012e-02
  8.57289763e-02 -5.41742012e-03  1.04218081e-02  4.46301514e-02
  7.47806457e-02  2.21056494e-02  5.31534351e-02  7.62008605e-02
 -2.59555721e-02  3.35878664e-02  5.22309458e-02  7.17534000e-02
 -1.55210411e-03  4.84847994e-02 -1.13225750e-03 -1.44923789e-04
 -1.37392279e-03 -3.10088998e-03  6.00431046e-02 -6.14792877e-02
  4.46180354e-02  4.70147630e-02  6.63395617e-02  1.89067799e-02
 -2.85727050e-02 -4.72953473e-02  6.18791670e-02 -1.82062011e-02
  1.07120298e-01  1.72870812e-01  1.02611710e-01  1.78032456e-02
 -1.81774680e-02  9.20830240e-03  7.06619448e-02 -8.16922471e-02
  7.18471586e-03  1.45090242e-01  2.46554400e-02  7.82646458e-02
  1.33017178e-02  6.17564071e-02]";0.03185392774785806;0.00735044541789438;1;0
2;Secondary Education;"[-3.06161127e-02  9.58124501e-02 -1.54010823e-02 -2.12526504e-02
  5.52520736e-02 -5.19638349e-02 -1.78735352e-02  8.04228561e-02
  3.74270028e-03  7.98917049e-03  1.42306996e-02  4.39994438e-02
  5.86250969e-02  4.19299821e-02  4.52154116e-02  7.50365436e-03
  2.32497614e-01  3.55952228e-02 -2.87196450e-03 -2.57157351e-02
  7.85358414e-02  5.04677085e-02  2.04286843e-02 -1.57094479e-04
 -1.46426408e-02 -4.45370281e-04  1.33327986e-01  5.48953328e-02
  6.70242425e-02  6.25252013e-03 -6.98535911e-03  2.01961035e-02
  5.03914263e-02 -2.05923196e-03  5.81654879e-02  4.30551762e-02
  3.59951946e-02 -1.81488243e-02 -7.10557498e-02  7.05754816e-03
  2.26315090e-02  6.38928440e-02  2.97644237e-02  5.30899796e-02
  7.43436019e-02 -2.65131043e-02  3.20195780e-02  5.31832347e-02
  6.02390302e-02  7.05811105e-02]";0.030053052992829708;0.006937233419410189;2;0
3;Prikken;"[ 0.0016774   0.05718932  0.0062652  -0.01028887  0.00768964  0.12698517
  0.00054603  0.0280217   0.01852938  0.03215474 -0.04043782  0.0080829
  0.02393228 -0.02922754  0.05213898 -0.0181784   0.00744419  0.00942908
  0.00364553  0.05036121  0.03127498  0.05422401  0.08238345  0.00990328
 -0.00348722  0.00951592  0.13915916  0.00425473  0.09864774  0.0154413
  0.03119043  0.03330013  0.02746574  0.00821803  0.05946895  0.02521857
  0.02149243  0.04625106  0.05156059  0.00792974  0.10557682  0.01441972
  0.07404635 -0.00914641  0.02603855  0.15295278 -0.08957506  0.07310935
  0.03381429  0.00144394]";0.02944106925200704;0.006179412496816991;3;0
4;Higher Education;"[ 0.11204393  0.09572064  0.01992711  0.01122762  0.01087147  0.02086216
  0.07216497 -0.0115415  -0.01108571 -0.04427798  0.00384228  0.03810908
 -0.01230768  0.07054027  0.03881981  0.01825239  0.02521334  0.14009622
  0.00610571  0.00471394 -0.00945332 -0.00260444  0.03185576  0.0330459
 -0.00074826  0.07123195  0.00711219  0.02282694  0.01632984  0.06611675
  0.0506107   0.05639958  0.06649294  0.06906452  0.00858068  0.00493393
  0.09685733  0.07449732 -0.03040761  0.03975185 -0.0448963  -0.03381659
  0.0187729   0.02917763  0.01880306  0.05514106 -0.01574781  0.0030958
 -0.01733933  0.03739478]";0.026647555848967396;0.005590632996565942;4;0
5;Masks;"[-6.54775750e-03  2.88916306e-03  6.29993179e-02  4.34226693e-05
  6.03241507e-02  9.68275406e-03  3.73341827e-02  3.32444263e-02
 -2.87996581e-02  8.57551652e-02  3.39402046e-02 -8.61337318e-03
  3.39977979e-04  3.48082153e-02  5.74592525e-02 -2.23168717e-02
  5.10326680e-02 -3.79450147e-02  1.43179002e-01  6.09535104e-02
  5.92243233e-02  2.63778948e-02  5.80864204e-03  7.06891039e-02
  8.67317688e-03  1.27952931e-01  1.47364157e-01  5.34775306e-02
  3.14454845e-02  3.25858051e-02 -1.64697268e-02  8.05629804e-02
  1.50409416e-02 -1.42938525e-02  3.80623510e-02 -5.13970394e-03
  1.61974428e-02  1.83663737e-02  4.19560617e-02  4.35983763e-03
 -7.62523408e-03 -4.59067025e-02  1.78811229e-02 -1.46598360e-02
  3.20318446e-02  5.08639475e-03 -5.60725944e-02  2.48707857e-02
  6.03526838e-02 -5.99110326e-02]";0.025361038495441416;0.006288852997614338;5;0
6;Daycare;"[ 0.0273748   0.0155105   0.0245773   0.01973123  0.01403485 -0.03237001
  0.00049414  0.01566932 -0.04024774 -0.0015753   0.00222665  0.00825827
  0.02306241  0.01896666  0.00458778  0.00281976  0.05884353  0.10741066
  0.01342288 -0.00096237 -0.03273273  0.02900188  0.00438169  0.01500162
 -0.0057296   0.02821055  0.08983192  0.04460981  0.04823242  0.05029356
  0.07073246 -0.00600768  0.00043386 -0.003278   -0.00460564  0.02976509
 -0.0245221  -0.01641992  0.16093347  0.01904824  0.18311627 -0.01263847
  0.00741378  0.06658937 -0.00886693  0.0067637   0.04769275 -0.00248903
  0.02773662 -0.00925205]";0.021701644012677906;0.006005159825364355;6;0
7;Indoor;"[ 1.09731324e-03  8.18979665e-03  8.52222088e-02 -9.63633595e-03
  4.65199495e-02  8.11230367e-02 -3.76766454e-02  1.30358210e-01
  9.33248391e-02  8.23029785e-02  5.70117241e-02  1.19389849e-02
  4.22442149e-02  9.73388412e-05  6.80021519e-02  5.81112696e-02
  2.61113116e-02  1.64099548e-02  3.07941055e-02  3.49518443e-03
  9.77392022e-02  2.91486544e-02 -1.59430188e-02  1.49677423e-02
 -2.31975270e-02  1.44835573e-02  9.12713802e-02 -3.46856547e-02
 -1.30065378e-03  5.13513549e-02  5.89143221e-03  3.41797490e-02
  1.03776217e-02 -8.21103631e-02  2.02521458e-02  1.16698562e-02
 -4.03083186e-02  1.23830859e-02  3.89474546e-02 -9.29392327e-03
 -3.69237800e-02  2.04537101e-02  1.95912945e-02  7.03101552e-02
 -3.29064654e-02  2.25576058e-02  3.26847756e-03  9.09757257e-03
 -8.25207877e-03 -1.27747136e-02]";0.021505742937109416;0.005893637253448483;7;0
8;Religion;"[ 0.03852831  0.03138291 -0.01402319 -0.0031431   0.02044472  0.01905582
  0.01030562  0.00300186 -0.01845595  0.08272057  0.02788414  0.01553094
  0.0912298   0.00853334  0.07383172  0.04065145  0.01986445  0.00483893
  0.00710668  0.0332088   0.16576011  0.01653059 -0.02094253 -0.00501466
  0.00334278  0.013782    0.20772302  0.03052937 -0.01792506  0.03316761
  0.02871038  0.05386576  0.01479276  0.03187754  0.02906424 -0.0090557
 -0.00116211  0.01528933 -0.02908943 -0.01895765  0.00830505  0.00351121
  0.00453561 -0.03872412  0.04837122 -0.00159886 -0.01182183 -0.0114336
  0.00889605  0.00471557]";0.020990849248121286;0.00607864547769328;8;0
9;Sports;"[-0.01498504  0.02871043  0.07804685  0.05395908 -0.01255774 -0.0259976
 -0.01260947  0.03437406 -0.00429644 -0.0355056  -0.01131511  0.0081014
 -0.05217136  0.048195    0.03236986  0.04556895  0.17669641  0.01793872
  0.01064953  0.05269401 -0.00594832  0.02455359  0.02374626  0.02437823
 -0.023249   -0.02378658  0.00494312  0.02449701  0.06349617  0.01018186
 -0.012501    0.04827225 -0.02147579 -0.04141182  0.02277049  0.03408589
  0.02438782  0.02139282  0.105246   -0.01794585 -0.02788646  0.05911238
  0.01034905  0.07586807  0.01646511  0.0116445   0.06123529  0.00729391
  0.02753648  0.02671937]";0.019436736438533556;0.005645723619311879;9;0
10;Entertainment;"[ 0.05581293  0.02811739  0.01568744 -0.01020799  0.06746513  0.01957838
 -0.00289689  0.04618755  0.06857979  0.00975837  0.01904747 -0.01043177
  0.04679372 -0.04327287  0.04883638  0.07700275  0.0188645   0.04972197
  0.00431634  0.09012457 -0.06649898  0.01251339 -0.00757592  0.00770545
  0.00710697  0.01455947  0.03224066 -0.00846826  0.00621884  0.00092688
  0.05059574  0.00038434  0.01173584 -0.05560054  0.00064959  0.00994242
  0.00882863  0.01458402  0.06925775  0.00294992  0.02421398  0.0152886
  0.02157138  0.06209845 -0.01909737  0.00475026  0.02988008  0.00221925
  0.0312438   0.03830154]";0.018432226846888868;0.004423752209164516;10;0
