Maatregelgroep;median;low;high
MassGatherAll;-0.6395753443917318;-0.7547784842575347;-0.46086125032584946
Workplace;-0.5242417911926396;-0.562500133576364;-0.49386956492415274
Restaurants_Cafes;-0.35247322071473086;-0.5677946422967087;-0.2674415378762836
Telework;-0.2957751149752269;-0.4472916108675002;-0.02207335209051805
Masks;-0.26522595589883324;-0.29226580475156383;-0.24779935627663705
Transport;-0.20057128298657217;-0.25234903491623006;-0.14480688011729703
Prikken;-0.15925448361260452;-0.18849246826326763;-0.1436725214964022
Religion;-0.1455854294502505;-0.18388321815310849;-0.0184526045802128
Daycare;-0.12442135583166544;-0.12994505136061135;-0.10360669648033922
Shops;-0.11943458864206505;-0.15088269872156324;-0.006404303365618206
Higher_Education;-0.06841145795650823;-0.08140636608063209;-0.039689771048851685
Primary_Education;-0.02060985807901682;-0.0512016191552001;-0.01436741669437484
MassGather50;0.016260621042434278;-0.0056854022247688875;0.08549356859229182
Sports;0.019664737239048158;-0.0018647675862437298;0.03998053413507644
Secondary_Education;0.07593426297725975;-0.013190900393480767;0.10484768124594612
Stayhome;0.09402333763130918;0.0788434019842801;0.11125412307425993
Gatherings;0.1693692741068344;0.03504498097376806;0.25891939564488425
Indoor;0.23358590386249456;0.014450553650059542;0.3477786218245408
Outdoor;0.2607126116595646;0.20483962379236806;0.2903667961931343
Entertainment;0.3659870031901299;0.22669882988737813;0.42903043780174877
Events;0.4009304588919784;0.29409593092019204;0.46799211265548585
Intercept;2.1239017237427733;2.0760110492631587;2.185668509075885
