Maatregelgroep;median;low;high
Workplace;-0.6070050928283401;-0.6460093032663088;-0.5670704345549229
Events;-0.3168461547009581;-0.35174892203998176;-0.2810271005960062
Masks;-0.3132345934342939;-0.35853636400572986;-0.28230592690945927
Outdoor;-0.30303589080272697;-0.36993287785262374;-0.23842108472005252
Sports;-0.20669866331388065;-0.22372761186983384;-0.14574167687073536
Prikken;-0.17035005271888998;-0.21091156217188006;-0.16045813127337769
Daycare;-0.16216369932681693;-0.18374564988804223;-0.15529910464356614
Religion;-0.14678723487986106;-0.2485571546278449;-0.03406180194344134
Higher_Education;-0.12845015682201377;-0.14751821233498882;-0.026030111601029055
MassGatherAll;-0.10067727977713782;-0.12864084417600447;0.0
Secondary_Education;-0.07370610582238843;-0.14457206814408016;-0.019919479844158844
Restaurants_Cafes;-0.0582564229037375;-0.10226530337418141;0.0
Transport;0.0;-0.1638160220310219;0.0
Indoor;0.0;0.0;0.0029341218083221445
Gatherings;0.025287600042276304;-0.01078859689892073;0.059743585248374025
Telework;0.043845979758624205;0.008936835914262512;0.0677587732926294
Primary_Education;0.07271759663699036;0.06087923463266766;0.09472381620407434
Entertainment;0.09785156968076232;0.0694103036095548;0.12721501199427132
Stayhome;0.11443353991656124;0.056353252673163545;0.14764931676562085
Shops;0.14654340627140394;0.06398905434155013;0.18812571415132628
MassGather50;0.2872267454055343;0.26420384175872524;0.3088058725439269
Intercept;2.0164787360043688;1.9466999422507092;2.0503192133982147
