Maatregelgroep;median;low;high
Transport;-0.1906488105714304;-0.19700469235135407;-0.14473034847607394
Sports;-0.17407238037104966;-0.1918699260965379;-0.16782327843831474
Indoor;-0.1411123922307479;-0.18996939977225547;-0.04643527321001471
Gatherings;-0.07735720846615984;-0.1067763562584759;-0.011341900533959337
Workplace;-0.06965876715993496;-0.09480928037410447;-0.060636186828905474
Events;-0.06160347820382856;-0.09269899187632392;-0.019178515267254802
Stayhome;-0.0588662029090861;-0.06957689538041904;-0.05079172988242365
Outdoor;-0.05671576739412383;-0.07397962001455616;-0.03590387593875602
Entertainment;-0.04601040178601862;-0.08090367546374808;0.005055334861148907
Daycare;-0.038764048488410474;-0.04988789979929027;-0.03155233211339971
Higher_Education;-0.008425423949854623;-0.015508200274178183;-0.0025092482341493826
Prikken;-0.006167363928790644;-0.009853758000374246;-0.00325694107451639
Masks;0.0010855967737594915;-0.001049892977049572;0.0044391689718892985
Primary_Education;0.003703157423770687;-0.00683131283211786;0.016255200817535568
Restaurants_Cafes;0.006218155644257636;-0.020064822126136663;0.10024343517738069
MassGather50;0.015075140805470563;-0.011090476720319813;0.02366917488454929
Secondary_Education;0.04031125381021584;0.020126827132361063;0.04638672443409887
Shops;0.11943273156300514;0.11427709388101055;0.13804539738870397
Religion;0.12493189443131356;0.07536569420085623;0.13929770149827803
Telework;0.13953869024199167;0.009002954751754645;0.19705841439156396
MassGatherAll;0.1670403619605836;0.09621050375937829;0.21641332111196976
Intercept;0.5066880504428215;0.5053705621542193;0.5093664341625207
